Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
6682,Finchite,,5,6,1,6682,72,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,TRUE,,yellow,,,,Fritscheite,8.498,10.363,16.25,90,90,90,,orthorhombic,2/m2/m2/m,Pbcn,P,
1967,Fontanite,4,5,6,2,1967,72,FALSE,FALSE,TRUE,FALSE,TRUE,104,4.7,488.846,0.702,FALSE,0.0012,yellow,2,3,sheet,,6.968,17.276,15.377,90,90.064,90,1851,monoclinic,2/m,P21/n,P,282.7
1975,Fourmarierite,6,4,6,60,1975,72,FALSE,FALSE,TRUE,FALSE,TRUE,96,4.793,460.156,0.728,FALSE,0.002,red,3,3-4,sheet,,13.938,16.638,14.672,90,90,90,3318.05,orthorhombic,mm2,Bb21m,B,1710
1977,Francevillite,4,5,6,39,1977,72,FALSE,FALSE,TRUE,FALSE,TRUE,88,3.55,312.43,0.55,FALSE,0.008,"orange,yellow-green",,3,sheet,Fritzscheite,10.419,8.51,16.763,90,90,90,1486.303,orthorhombic,2/m2/m2/m,Pcan,P,1880.7
5530,Françoisite-(Ce),4,5,6,2,5530,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,2,,sheet,,9.295,15.53,13.718,90,112.39,90,1831,monoclinic,2/m,P21/c,P,394
1983,Françoisite-(Nd),4,5,6,5,1983,72,FALSE,FALSE,TRUE,FALSE,TRUE,112,4.807,538.424,0.706,FALSE,0.0003,yellow,2,3,sheet,,9.298,15.605,13.668,90,112.77,90,1828.6,monoclinic,2/m,P21/c,P,675
2002,Fritzscheite,,5,6,4,2002,65,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,reddish-brown,2,2-3,,Fritzscheite,,,,,,,,,,,,330.6
2012,Furongite,2,5,6,2,2012,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,yellow,2,2-3,sheet,,12.1685,14.1579,17.7884,79.822,77.637,67.293,2746.2,triclinic,-1,P-1,P,975.3
6532,Gauthierite,8,5,6,1,6532,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow-orange,2,3-4,sheet,,29.844,14.5368,14.0406,90,103.708,90,5917.8,monoclinic,2/m,P21/c,P,675
6299,Geschieberite,4,5,6,1,6299,72,FALSE,FALSE,TRUE,FALSE,TRUE,68,4.087,277.947,0.671,FALSE,0.0002,green,2,2,sheet,,13.7778,7.2709,11.5488,90,90,90,1156.92,orthorhombic,mm2,Pna21,P,0
6644,Greenlizardite,2,6,6,1,6644,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,sheet,,6.83617,9.5127,13.8979,98.636,93.713,110.102,832.49,triclinic,-1,P-1,P,
2156,Grimselite,2,6,6,3,2156,72,FALSE,FALSE,TRUE,FALSE,TRUE,42,3.07,128.928,0.569,FALSE,0.001,yellow,2,2-2.5,cluster,,9.2507,9.2507,8.1788,90,90,120,606.14,hexagonal,-6m2,P-6 2c,P,270
2174,Guilleminite,2,5,6,3,2174,72,FALSE,FALSE,TRUE,FALSE,TRUE,46,3.828,176.084,0.693,FALSE,0.0004,yellow,waxy,2,sheet,,7.084,7.293,16.881,90,90,90,872.1,orthorhombic,mm2,P21nm,P,675
2190,Haiweeite,4,5,6,15,2190,"15,72",FALSE,FALSE,TRUE,FALSE,TRUE,280,5.129,1436.2,0.631,FALSE,,yellow,6,3.5,sheet,,7.125,17.937,18.342,90,90,90,2344.3,orthorhombic,2/m2/m2/m,Cmcm,C,1814
2193,Hallimondite,2,5,6,3,2193,72,FALSE,FALSE,TRUE,FALSE,TRUE,31,3.986,123.58,0.805,FALSE,0.0004,yellow,3,2.5-3,chain,,7.1153,10.478,6.8571,101.178,95.711,86.651,498.64,triclinic,-1,P-1,P,354
2222,Haynesite,2,4,6,1,2222,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.003,amber,2,1.5-2,,,8.025,17.43,6.935,90,90,90,970,orthorhombic,,,,
2231,Heinrichite,2,5,6,18,2231,72,FALSE,FALSE,TRUE,FALSE,TRUE,54,3.792,204.764,0.659,FALSE,0.001,green,2,2.5,sheet,,7.1548,7.134,21.29,90,104.171,90,1053.6,monoclinic,2/m,P2/c,P,354
5924,Heisenbergite,24,3,6,3,5924,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.000015,yellow,2,2,,,13.1,13.76,14.5,90,90,90,,orthorhombic,,,,313
5189,Holfertite,3,5,6,3,5189,39,FALSE,FALSE,TRUE,TRUE,FALSE,55,4.398,241.897,0.761,FALSE,0.005,yellow,2,4,framework,,10.824,10.824,7.549,90,90,120,766,hexagonal,3,P3,P,
6670,Horákite,,5,6,1,6670,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,,,21.374,15.451,12.168,90,122.26,90,,monoclinic,2/m,C2/c,C,
2319,Hügelite,8,5,6,8,2319,72,FALSE,FALSE,TRUE,FALSE,TRUE,224,6.022,1348.85,0.771,FALSE,0.003,orange-yellow,3,2.5,sheet,,31.066,17.303,7.043,90,96.492,90,3761.583,monoclinic,2/m,P21/m,P,354
2367,Ianthinite,4,3,"4,6",29,2367,"72,78",FALSE,FALSE,TRUE,FALSE,TRUE,140,5.129,718.1,0.719,FALSE,0.002,violet,sub-metallic,2.0-3.0,sheet,,7.178,11.473,30.39,90,90,90,2502.713,othorhombic,mm2,P21cn,P,675
2486,Iriginite,4,4,6,15,2486,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,60,3.24,194.413,0.549,FALSE,,yellow,2,1.0-2.0,sheet,,6.705,12.731,11.3524,90,90,90,983.704,othorhombic,2/m2/m2/m,Pbcm,P,1880.7
2500,Jáchymovite,2,4,6,3,2500,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.01,yellow,2,,,,18.553,9.276,13.532,90,125.56,90,1894.52,monoclinic,2/m,P21/m,P,0
6377,Ježekite,1,6,6,1,6377,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.02,yellow,2018-02-06 00:00:00,~2,sheet,,9.0664,9.0664,6.911,90,90,120,491.97,hexagonal,-6m2,P-62m,P,0
2541,Johannite,1,6,6,66,2541,72,FALSE,FALSE,TRUE,FALSE,TRUE,27,3.792,102.382,0.797,FALSE,,green,2,2-2.5,sheet,,8.903,9.499,6.812,109.87,112.01,100.4,469.9,triclinic,-1,P -1,p,1757
5119,Joliotite,2,4,6,3,5119,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0001,yellow,2,1.0-2,,,8.99,9.36,4.95,90,90,90,,orthorhombic,"2/m2/m2/m,mm2,222","Pnmm,Pnm21,P22121",P,313
2569,Kahlerite,8,5,6,11,2569,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.002,lemon-yellow,2,2-2.5,,,14.3,14.3,21.97,90,90,90,4492.65,tetragonal,4/m,P42/n,P,270
2587,Kamitugaite,2,6,6,2,2587,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.0005,yellow,2,3,,,10.98,15.96,9.068,95.1,96.1,89,1574,triclinic,-1,P-1,P,975.3
2588,Kamotoite-(Y),4,5,6,6,2588,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.004,yellow,2,,sheet,,12.3525,12.9432,19.4409,90,99.857,90,3069.8,monoclinic,2/m,P21/n,P,675
2605,Kasolite,4,5,6,187,2605,72,FALSE,FALSE,TRUE,FALSE,TRUE,40,3.322,132.877,0.624,FALSE,,yellow,,4-5,sheet,,6.705,6.9257,13.2857,90,105.064,90,595.74,monoclinic,2/m,P21/c,P,3411
6487,Klaprothite,4,5,6,1,6487,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow-green,,2.5,cluster,,9.8271,9.7452,20.8725,90,98.743,90,1975.66,monoclinic,2/m,P21/c,P,0
6669,Kroupaite,,5,6,1,6669,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,,,,,,,14.8201,14.0958,16.765,90,90,90,3502.23,orthorhombic,2/m2/m2/m,Pbca,P,
5588,Lakebogaite,4,7,6,1,5588,"72,58",FALSE,FALSE,TRUE,FALSE,TRUE,78,5.285,412.261,0.841,FALSE,0.0004,yellow,2,3,chain,,19.6441,7.0958,18.7029,90,115.692,90,2349.273,monoclinic,m,Cc,C,398
5210,Larisaite,2,5,6,1,5210,72,FALSE,FALSE,TRUE,FALSE,TRUE,61,5.177,315.775,0.873,FALSE,0.002,yellow,2,1,sheet,,6.9806,7.646,17.249,90,90.039,90,920.64,monoclinic,m,Pm,P,
6593,Leesite,,4,6,1,6593,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,yellow,2,2,sheet,,14.866,14.126,16.772,90,90,90,3522,orthorhombic,2/m2/m2/m,Pbca,P,
2811,Lehnerite,2,5,6,1,2811,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.001,bronze-yellow,2,2-3,,,7.04,17.16,6.95,90,90.18,90,,monoclinic,2/m,P21/n,P,
6529,Leószilárdite,2,6,6,1,6529,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,179.33,,TRUE,0.0002,yellow,2,2,cluster,,11.6093,6.7843,15.1058,90,91.378,90,1189.4,monoclinic,2/m,C2/m,C,
2826,Lepersonnite-(Gd),2,7,6,1,2826,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.005,yellow,2,,,,16.23,38.74,11.73,90,90,90,,orthorhombic,"2/m2/m2/m,mm2","Pnnm,Pnn2",P,675
5125,Lermontovite,12,4,4,2,5125,5,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,TRUE,0.001,gray-green,dull,,,,9.74,19,10.1,90,90,90,,orthorhombic,2/m2/m2/m,Ccca,C,327
6120,Leydetite,4,5,6,2,6120,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.002,yellow,2,2,sheet,Leydetite,11.3203,7.7293,21.8145,90,102.402,90,1864.18,monoclinic,2/m,C2/c,C,179
2840,Liandratite,1,3,6,8,2840,16,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,TRUE,0.002,yellow,2,3.5,,,6.36,6.36,4.1,90,90,120,,hexagonal,-32/m,P-31m,P,1490
